token_ticker,sentiment_score,mCap
FELIX,-0.3333333333333333,5316
FEPE,-0.2894736842105263,4478
FEPPE,-0.4,4692
FERGUS,-0.2336448598130841,4660
FERN,0.42857142857142855,4597
FEW,-0.6056338028169014,5619
FFTP,-0.6666666666666666,5897
FFTP,-0.6666666666666666,4819
FHulk,-0.46153846153846156,4397
FI,-0.8571428571428571,15683
FIGHT,-1.0,5094
FIGHTUS,-0.23809523809523808,6694
FILY,-0.25,4362
FIN,-0.10679611650485436,4265
FIONA,0.16666666666666666,4458
FIONA,0.16666666666666666,21683
FIRE,1.0,4556
FIREWORKS,-0.36666666666666664,4447
FISHY,-0.6666666666666666,5037
FIST,-0.5714285714285714,7163
FIST,-0.5714285714285714,7570
FKAIS,-0.7647058823529411,10487
FLAT,-1.0,4196
FLAVIAOFF,0.0,4103
FLAWED,-0.25301204819277107,5071
FLEX,-0.5,5157
FLOKI,0.2,5747
FLOKIF,-0.7777777777777778,7563
FLORK,1.0,4378
FLUFFY,0.3333333333333333,4805
FML,-0.6521739130434783,4750
FMODANA,-0.4594594594594595,24346
FMYRO,-0.3333333333333333,4603
FOMC,-0.3381818181818182,4488
FOMC,-0.3381818181818182,7375
FOREST,-0.6666666666666666,43304751
FORTNITE,-0.5961538461538461,13855
FP,-0.68,5021
FRANK,-0.5,4267
FRAT,-0.75,4148
FRAUD,-0.5714285714285714,35607
FRAUG,-1.0,5037
FRAWG,-0.36363636363636365,5003
FREAK,-0.3333333333333333,10673
FREDO,-0.45454545454545453,5219
FREE,-0.375,105078
FREE G,-0.8,9173
FREEDOM,-0.2727272727272727,8848
FRENCH,-1.0,4190
FRENS,-0.4117647058823529,4368
FRENS,-0.4117647058823529,4974
FRENS,-0.4117647058823529,5654
FRIED,-0.6363636363636364,6844
FRIES,-0.14285714285714285,7487
FRIES,-0.14285714285714285,8441
FRODO,-1.0,4870
FROG,-0.25,4290
FROG,-0.25,4791
FROG,-0.25,4144
